,city,city_code,control_type,elevation,location_type,project,sample_type,setting,station,surface,surface_material,traffic
haib17CEM4890_H2NYMCCXY_SL254836,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,maracanã station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254837,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,cardeal arcoverde station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254838,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,maracanã station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254839,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,vicente de carvalho station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254840,fairbanks,FAI,,,,,environmental_microbiome,,,metal_bench,metal,
haib17CEM4890_H2NYMCCXY_SL254841,ilorin,OFA,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H2NYMCCXY_SL254842,ofa,OFA,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254843,ilorin,OFA,,,,,environmental_microbiome,,,,stainless steel,
haib17CEM4890_H2NYMCCXY_SL254844,new_york_city,NYC,,,,,environmental_microbiome,,,kiosk,metal,
haib17CEM4890_H2NYMCCXY_SL254845,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254846,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254847,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,central station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254848,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,maracanã station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254849,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,central station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254850,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,maracanã station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254851,fairbanks,FAI,,,,,environmental_microbiome,,,wood_bench,wood,
haib17CEM4890_H2NYMCCXY_SL254852,fairbanks,FAI,,,,,environmental_microbiome,,,seat,fabric,
haib17CEM4890_H2NYMCCXY_SL254853,ilorin,OFA,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H2NYMCCXY_SL254854,ilorin,OFA,,,,,environmental_microbiome,,,,wood,
haib17CEM4890_H2NYMCCXY_SL254855,ilorin,OFA,,,,,environmental_microbiome,,,,metal,
haib17CEM4890_H2NYMCCXY_SL254856,new_york_city,NYC,,,,,environmental_microbiome,,,turnstile,metal,
haib17CEM4890_H2NYMCCXY_SL254857,new_york_city,NYC,,,,,environmental_microbiome,,,kiosk,metal,
haib17CEM4890_H2NYMCCXY_SL254858,new_york_city,NYC,,,,,environmental_microbiome,,,,,
haib17CEM4890_H2NYMCCXY_SL254859,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,nova américa del castilho station,station railing,,
haib17CEM4890_H2NYMCCXY_SL254860,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,maracanã station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254861,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,central station,station eletronic kiosk,,
haib17CEM4890_H2NYMCCXY_SL254862,rio_de_janeiro,RIO,,,,OLYMPIOME,environmental_microbiome,,maracanã station,station seat,,
haib17CEM4890_H2NYMCCXY_SL254863,fairbanks,FAI,,,,,environmental_microbiome,,,wood_bench,wood,
haib17CEM4890_H2NYMCCXY_SL254864,fairbanks,FAI,,,,,environmental_microbiome,,,yellow_tape,plastic,
haib17CEM4890_H3KHWCCXY_SL263276,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263277,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263278,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263279,porto,POR,,,,,environmental_microbiome,,,,,
haib17CEM4890_H3KHWCCXY_SL263280,porto,POR,,,,,environmental_microbiome,,,,,
