,,FID,sample_number,,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city
Jonas,Parc Nou/Catalunya,,CDS16-BCN-058,21.06.2016,CDS16-BCN-058.jpeg,sub_line,urban,Plastic,Seat,,Parc Nou,Subway_car,,,,,,,,,,,,,L9,,2087759,41316729,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-059,21.06.2016,no pic ,sub_line,urban,Metal,Poll,,Parc Nou,Subway_car,,,,,,,,,,,,,L9,,2087759,41316729,,Barcelona
Jonas,Parc Nou/Catalunya,,CDS16-BCN-060,21.06.2016,no pic,sub_line,urban,Air,Air,,Parc Nou,Subway_car,,,,,,,,,,,,,L9,,2087759,41316729,,Barcelona
Hannah,Barceloneta,18,CDS16-BCN-064,21.06.2016,mdc_photo_mdc_938856_1466509458668_1466509755132.jpg,sub_line,urban,Metal,Handrail,,Barceloneta,subway_station,,,,,,,,,,,,,,,2.1847E+12,4.13819E+13,,Barcelona
Hannah,Barceloneta,19,CDS16-BCN-065,21.06.2016,mdc_photo_mdc_6205c4_1466509878796_1466510000926.jpg,sub_line,urban,Metal,Handrail,,Barceloneta,subway_station,,,,,,,,,,20,,,,,2.18465E+12,4.13818E+13,,Barcelona
Hannah,Barceloneta,30,CDS16-BCN-066,21.06.2016,mdc_photo_mdc_a4c6da_1466510332715_1466510397074.jpg,sub_line,urban,Metal,Kiosk,,Barceloneta,subway_station,,,,,,,,,,,,,,,2.18465E+12,4.13818E+13,,Barcelona
Hannah,Barceloneta,32,CDS16-BCN-067,21.06.2016,mdc_photo_mdc_39e240_1466510729180_1466510804785.jpg,sub_line,urban,Glass,Kiosk,,Barceloneta,subway_station,,,,,,,,,,,,,,,2.18465E+12,4.13818E+13,,Barcelona
Hannah,Barceloneta,35,CDS16-BCN-068,21.06.2016,mdc_photo_mdc_c4a7ca_1466511140010_1466511188370.jpg,sub_line,urban,Plastic,Kiosk,,Barceloneta,subway_station,,,,,,,,,,,,,,,2.18465E+12,4.13818E+13,,Barcelona
Hannah,Barceloneta,39,Csd-16-bcn-069,21.06.2016,mdc_photo_mdc_5b4b84_1466511493797_1466511535820.jpg,bus_line,urban,Metal,Turnstil,,Barceloneta,subway_station,,,,,,,,,,,,,,,2.18465E+12,4.13818E+13,,Barcelona
Hannah,Barceloneta,43,CDS16-BCN-070,21.06.2016,mdc_photo_mdc_d36280_1466511738896_1466511818112.jpg,sub_line,urban,Air,Air,,Barceloneta,subway_station,,,,,,,,,,,,,"Control, just air in the subway",,2.18465E+12,4.13818E+13,,Barcelona
