Sample Number,Site,Surface,Collector,Date of Collection,Notes,
W0289,F Line - Avenue X,Turnstile,,,,
W0290,F Line - Avenue X,Other,,,,
W0291,F/Q Line - West 8 St NY Aquarium  ,Wooden Bench,,,,
W0292,F/Q Line - West 8 St NY Aquarium  ,Kiosk,,,,
W0293,N Line - 86 St,Stairwell Railing,,,,
W0294,N Line - 86 St,Turnstile,,,,
W0295,N Line - Kings HWY,Wooden Bench,,,,
W0296,N Line - Kings HWY,Other,,,,
W0297,N Line - 20 Ave,Stairwell Railing,,,,
W0298,N Line - 20 Ave,Wooden Bench,,,,
W0299,N Line - New Utrecht Ave,Other,,,,
W0300,N Line - New Utrecht Ave,Stairwell Railing,,,,
W0301,F Train,Seat Rail,,,,
W0302,F Train,Seat near door,,,,
W0303,F Train ,Doors,,,,
W0304,F Train ,Pole,,,,
W0305,F Train ,Ceiling Rail,,,,
W0306,N Train,Doors,,,,
W0307,N Train,Seat Rail,,,,
W0308,N Train ,Seat near door,,,,
W0309,N Train,Center seat,,,,
W0310,N Train ,Ceiling Rail,,,,
W0311,D/N/R - 36 St,Wooden Bench,,,,
W0312,D/N/R - 36 St,Stairwell Railing,,,,
W0313,D Line - Fort Hamilton,Kiosk,,,,
W0314,D Line - Fort Hamilton,Turnstile,,,,
W0315,D Line - 55 St,Other,,,,
W0316,D Line - 55 St,Wooden Bench,,,,
W0317,D Line - 62 St,Turnstile,,,,
W0318,D Line - 62 St,Other,,,,
W0319,D Line - 79 St,Other,,,,
W0320,D Line - 79 St,Stairwell Railing,,,,
W0321,D Line  - 20 Ave,Wooden Bench,,,,
W0322,D Line  - 20 Ave,Stairwell Railing,,,,
W0323,D Line - 25 Ave,Kiosk,,,,
W0324,D Line - 25 Ave,Turnstile,,,,
W0325,D Line - Bay 50 St ,Turnstile,,,,
W0326,D Line - Bay 50 St ,Other,,,,
W0327,N Line - Avenue U ,Wooden Bench,,,,
W0328,N Line - Avenue U ,Stairwell Railing,,,,
W0329,N Line - 8 Ave,Stairwell Railing,,,,
W0330,N Line - 8 Ave,Kiosk,,,,
W0331,D Train,Doors,,,,
W0332,D Train,Center seat,,,,
W0333,D Train,Doors,,,,
W0334,D Train,Center seat,,,,
W0335,D Train,Pole,,,,
W0336,N Train,Ceiling Rail,,,,
W0337,N Train,Ceiling Rail,,,,
W0338,N Train,Doors,,,,
W0339,N Train,Center seat,,,,
W0340,N Train,Seat Rail,,,,
W0341,7 Line - Flushing Main St,Other,,,,
W0342,7 Line - Flushing Main St,Kiosk,,,,
W0343,7 Line - Mets Willets Point,Stairwell Railing,,,,
W0344,7 Line - Mets Willets Point,Turnstile,,,,
W0345,7 Line - Junction Blvd,Other,,,,
W0346,7 Line - Junction Blvd,Other,,,,
W0347,7 Line - Roosevelt Ave,Other,,,,
W0348,7 Line - Roosevelt Ave,Other,,,,
W0349,7 Line - 61 St Woodside,Kiosk,,,,
W0350,7 Line - 61 St Woodside,Steel Bench,,,,
W0351,7 Line - 46 St Bliss St,Wooden Bench,,,,
W0352,7 Line - 46 St Bliss St,Stairwell Railing,,,,
W0353,7 Line - 33 St ,Kiosk,,,,
W0354,7 Line - 33 St ,Other,,,,
W0355,7 Line - Queensboro Plaza,Wooden Bench,,,,
W0356,7 Line - Queensboro Plaza,Other,,,,
W0357,7 Line - Court Square,Stairwell Railing,,,,
W0358,7 Line - Court Square,Other,,,,
W0359,7 Line - Vernon Blvd Jackson,Kiosk,,,,
W0360,7 Line - Vernon Blvd Jackson,Wooden Bench,,,,
W0361,7 Train,Center seat,,,,
W0362,7 Train,Doors,,,,
W0363,7 Train,Pole,,,,
W0364,7 Train,Seat near door,,,,
W0365,7 Train,Doors,,,,
W0366,7 Train,Seat near door,,,,
W0367,7 Train,Ceiling Rail,,,,
W0368,7 Train,Pole,,,,
W0369,7 Train,Center seat,,,,
W0370,7 Train,Doors,,,,
W0371,E/J/Z - Sutphin Blvd,Steel Bench,,,,
W0372,E/J/Z - Sutphin Blvd,Other,,,,
W0373,E/F Line - Briarwood Van Wyck Blvd,Wooden Bench,,,,
W0374,E/F Line - Briarwood Van Wyck Blvd,Stairwell Railing,,,,
W0375,F Line - Parsons Blvd,Stairwell Railing,,,,
W0376,F Line - Parsons Blvd,Wooden Bench,,,,
W0377,F Line - Jamaica 179 St,Stairwell Railing,,,,
W0378,F Line - Jamaica 179 St,Other,,,,
W0379,E/F Line - Kew Gardens Uniont Tpke,Stairwell Railing,,,,
W0380,E/F Line - Kew Gardens Uniont Tpke,Wooden Bench,,,,
W0381,E/F Line - Forest Hills 71st Ave,Wooden Bench,,,,
W0382,E/F Line - Forest Hills 71st Ave,Stairwell Railing,,,,
W0383,E/F/M/R - Jackson Hts Roosevelt Ave,Stairwell Railing,,,,
W0384,E/F/M/R - Jackson Hts Roosevelt Ave,Wooden Bench,,,,
W0385,E/M/R - Queens Plaza,Turnstile,,,,
W0386,E/M/R - Queens Plaza,Kiosk,,,,
W0387,E/M - Lexington Ave,Wooden Bench,,,,
W0388,E/M - Lexington Ave,Stairwell Railing,,,,
W0389,E/B/D - 7 ave,Wooden Bench,,,,
W0390,E/B/D - 7 ave,Other,,,,
W0391,E Train,Doors,,,,
W0392,E Train,Pole,,,,
W0393,E Train ,Seat near door,,,,
W0394,E Train,Seat Rail,,,,
W0395,E Train ,Ceiling Rail,,,,
W0396,F Train,Pole,,,,
W0397,F Train,Doors,,,,
W0398,F Train,Seat near door,,,,
W0399,F Train,Seat Rail,,,,
W0400,F Train,Ceiling Rail,,,,
W0401,M/R Line - 67 Ave,Kiosk,,,,
W0402,M/R Line - 67 Ave,Kiosk,,,,
W0403,M/R Line - Woodhaven Blvd ,Stairwell Railing,,,,
W0404,M/R Line - Woodhaven Blvd ,Turnstile,,,,
W0405,M/R Line - Elmhurst Ave,Wooden Bench,,,,
W0406,M/R Line - Elmhurst Ave,Stairwell Railing,,,,
W0407,M/R Line - 65 St,Stairwell Railing,,,,
W0408,M/R Line - 65 St,Turnstile,,,,
W0409,M/R Line - 46 St,Turnstile,,,,
W0410,M/R Line - 46 St,Other,,,,
W0411,M/R Line - 36 St,Kiosk,,,,
W0412,M/R Line - 36 St,Turnstile,,,,
W0413,N/Q Line - 39 Ave,Stairwell Railing,,,,
W0414,N/Q Line - 39 Ave,Wooden Bench,,,,
W0415,N/Q Line - Broadway,Wooden Bench,,,,
W0416,N/Q Line - Broadway,Stairwell Railing,,,,
W0417,N/Q Line - Astoria Blvd,Other,,,,
W0418,N/Q Line - Astoria Blvd,Other,,,,
W0419,N/Q Line - Astoria Ditmars Blvd,Stairwell Railing,,,,
W0420,N/Q Line - Astoria Ditmars Blvd,Wooden Bench,,,,
W0421,M Train,Pole,,,,
W0422,M Train,Seat near door,,,,
W0423,M Train,Seat Rail,,,,
W0424,R Train,Seat Rail,,,,
W0425,R Train,Seat near door,,,,
W0426,R Train,Pole,,,,
W0427,N Train,Doors,,,,
W0428,N Train,Pole,,,,
W0429,Q Train ,Doors,,,,
W0430,Q Train,Ceiling Rail,,,,
W0431,"4,5- Bowling Green",Other,,,,
W0432,"4,5- Bowling Green",Other,,,,
W0433,6 - Spring St,Turnstile,,,,
W0434,6 - Spring St,Other,,,,
W0435,6 - Astor Place,Stairwell Railing,,,,
W0436,6 - Astor Place,Wooden Bench,,,,
W0437,6 - 23 St,Other,,,,
W0438,6 - 23 St,Kiosk,,,,
W0439,6 - Grand Central,Other,,,,
W0440,6 - Grand Central,Stairwell Railing,,,,
W0441,6 - 59 St,Other,,,,
W0442,6 - 59 St,Other,,,,
W0443,6 - 77 St,Other,,,,
