Sample_ID,Date_Collected,Sample_Collector_Name,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature_C,,,,
CSD16_ZH_107,6/21/16 19:31,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,11,,47.40907556,8.548624171,railing,Metal,,,,,
CSD16_ZRH_106,6/21/16 19:36,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,11,,47.40912083,8.548523923,seat,Other,,,,,
CSD16_ZRH_108,6/21/16 19:36,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,11,,47.40902389,8.548713103,seat,Other,,,,,
CSD16_ZRH_113,6/21/16 19:45,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,14,,47.40968116,8.547905758,railing,Metal,,,,,
CSD16_ZRH_115,6/21/16 19:46,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,14,,47.40955958,8.548144642,railing,Metal,,,,,
CSD16_ZRH_114,6/21/16 19:50,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,14,,47.40967156,8.547957977,seat,Other,,,,,
CSD16_ZRH_116,6/21/16 19:51,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,14,,47.40958091,8.548168112,seat,Other,,,,,
CSD16_ZRH_109,6/21/16 20:02,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,12,,47.41015297,8.548271544,railing,Metal,20,,,,
CSD16_ZRH_111,6/21/16 20:02,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,12,,47.409977,8.548571952,railing,Metal,,,,,
CSD16_ZRH_110,6/21/16 20:07,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,12,,47.40994883,8.548197364,seat,Other,20,,,,
CSD16_ZRH_112,6/21/16 20:07,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,12,,47.40997578,8.548567509,seat,Other,,,,,
CSD16_ZRH_121,6/21/16 20:12,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,10,,47.4100798,8.548405319,railing,Metal,20,,,,
CSD16_ZRH_123,6/21/16 20:14,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,10,,47.40998345,8.548567006,railing,Metal,,,,,
CSD16_ZRH_122,6/21/16 20:16,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,10,,47.41012309,8.548371205,seat,Other,20,,,,
CSD16_ZRH_124,6/21/16 20:18,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,10,,47.40998345,8.548567006,seat,Other,,,,,
CSD16_ZRH119,6/21/16 20:27,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,15,,47.40967181,8.547660587,railing,Metal,,,,,
CSD16_ZRH_117,6/21/16 20:27,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,15,,47.4099728,8.54739002,railing,Metal,20,,,,
CSD16_ZRH_120,6/21/16 20:32,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,15,,47.40969528,8.547686487,seat,Other,,,,,
CSD16_ZRH_118,6/21/16 20:32,,Switzerland,N/A,Zurich,subway_car,Sternen Oerlikon,15,,47.40978643,8.547620103,seat,Other,20,,,,
CSD16_ZRH_017,6/21/16 13:14,,Switzerland,N/A,Zurich,subway_station,Escher-Wyss-Platz,15,,47.3900336,8.5236835,railing,Plastic,,,,,
CSD16_ZRH_018,6/21/16 13:20,,Switzerland,N/A,Zurich,subway_station,Escher-Wyss-Platz,15,,47.3901193,8.5236369,seat,Wood,,,,,
