Sample_#,Date_Collected,Bus_Number,Bus_Line,Area,Material,Label
CSD16-FAI-0331,,,,Kiosk (composite of 3),,Airport Kiosk (composite of 3)_37_LB_strep
CSD16-FAI-0332,,,,Men's bathroom sink counter ,,Airport Men's bathroom sink counter _37_LB_none
CSD16-FAI-0333,,,,Men's bathroom sink counter ,,Airport Men's bathroom sink counter _37_LB_chloram
CSD16-FAI-0334,,,,Men's bathroom sink counter ,,Airport Men's bathroom sink counter _37_LB_kan
CSD16-FAI-0335,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_28_LB_none
CSD16-FAI-0336,,,,Jetway 2 floor (as soon as step out of plane),,Airport Jetway 2 floor (as soon as step out of plane)_28_LB_tet
CSD16-FAI-0337,,,,Jetway 2 handrail,,Airport Jetway 2 handrail_28_LB_none
CSD16-FAI-0338,,,,Jetway 2 handrail,,Airport Jetway 2 handrail_28_LB_kan
CSD16-FAI-0339,,,,Jetway 2 handrail,,Airport Jetway 2 handrail_28_LB_tet
CSD16-FAI-0340,,,,Jetway 1 seats waiting area,,Airport Jetway 1 seats waiting area_28_LB_none
CSD16-FAI-0341,,,,Jetway 1 floor (next to rubber floor area),,Airport Jetway 1 floor (next to rubber floor area)_28_LB_none
CSD16-FAI-0342,,,,Jetway 1 floor (next to rubber floor area),,Airport Jetway 1 floor (next to rubber floor area)_28_LB_amp
CSD16-FAI-0343,,,,Jetway 1 floor (as soon as step out of plane),,Airport Jetway 1 floor (as soon as step out of plane)_28_LB_none
CSD16-FAI-0344,,,,Jetway 1 floor (as soon as step out of plane),,Airport Jetway 1 floor (as soon as step out of plane)_28_LB_kan
CSD16-FAI-0345,,,,In front of Gate 1 carpet (by seating area),,Airport In front of Gate 1 carpet (by seating area)_28_LB_none
CSD16-FAI-0346,,,,water fountain by gate 2,,Airport water fountain by gate 2_28_LB_none
CSD16-FAI-0347,,,,water fountain by gate 2,,Airport water fountain by gate 2_28_LB_amp
CSD16-FAI-0348,,,,water fountain by gate 2,,Airport water fountain by gate 2_28_LB_kan
CSD16-FAI-0349,,,,water fountain by gate 2,,Airport water fountain by gate 2_28_LB_strep
CSD16-FAI-0350,,,,Starbucks table,,Airport Starbucks table_28_LB_none
CSD16-FAI-0351,,,,Starbucks table,,Airport Starbucks table_28_LB_amp
CSD16-FAI-0352,,,,Starbucks table,,Airport Starbucks table_28_LB_kan
CSD16-FAI-0353,,,,Starbucks table,,Airport Starbucks table_28_LB_tet
CSD16-FAI-0354,,,,Starbucks chair,,Airport Starbucks chair_28_LB_none
CSD16-FAI-0355,,,,Starbucks chair,,Airport Starbucks chair_28_LB_amp
CSD16-FAI-0356,,,,Starbucks chair,,Airport Starbucks chair_28_LB_kan
CSD16-FAI-0357,,,,Women's Bathroom (handicapped stall) seat,,Airport Women's Bathroom (handicapped stall) seat_28_LB_none
