city,barcode,setting,ground_level,traffic,latitude,longitude,material,sample_place,,
bogota,235082322,urban,above_ground_closed,high traffic,4.67514601,-74.06938435,plastic,seat,,
bogota,235074146,urban,above_ground_closed,high traffic,4.67534036,-74.06946841,glass,window,,
bogota,235073059,urban,above_ground_closed,high traffic,4.67530751,-74.06947606,metal_plastic,pole,,
bogota,235073060,urban,above_ground_open,medium traffic,4.71007707,-74.11011097,metal,handrail,,
bogota,235072664,urban,above_ground_open,medium,4.71007768,-74.11010531,plastic,map,,
bogota,235073109,urban,above_ground_open,medium traffic,4.71007129,-74.11012149,metal,turnstile,,
bogota,235082326,urban,above_ground_closed,few people,4.70959724,-74.11109024,plastic,seat,,
bogota,235074172,urban,above_ground_closed,few people,4.70667848,-74.10871213,glass,window,,
bogota,235073133,urban,above_ground_closed,few,4.70023121,-74.09755774,metal_plastic,pole,,
bogota,235073105,urban,above_ground_mixed,medium,4.68569359,-74.08091426,metal,turnstile,,
bogota,235072734,urban,above_ground_mixed,medium,4.685686,-74.08048453,metal,handrail,,
bogota,235074106,urban,above_ground_closed,few people in the station,4.6859496,-74.0805779,plastic,map,,
bogota,235030885,urban,above_ground_mixed,few people,4.68597995,-74.08053989,other,handrail,,
bogota,235073046,urban,above_ground_mixed,full station,4.617226192,-74.07138638,metal,turnstile,,
bogota,235073043,urban,above_ground_closed,full bus,4.725596664,-74.05046727,plastic,seat,,
bogota,235078135,urban,above_ground_closed,"full bus, open windows",4.725351294,-74.05096068,glass,window,,
bogota,235074125,urban,above_ground_closed,full bus,4.725447081,-74.05084115,metal_plastic,pole,,
bogota,235078209,urban,above_ground_closed,full bus,4.683292074,-74.05813088,plastic,seat,,
bogota,235074131,urban,above_ground_closed,,4.683407566,-74.05791531,glass,window,,
bogota,235082329,urban,above_ground_closed,,4.683290542,-74.05796232,metal_plastic,pole,,
bogota,235072657,urban,above_ground_mixed,,4.682932795,-74.05778147,metal,turnstile,,
bogota,235082306,urban,above_ground_mixed,,4.683087492,-74.0577839,metal,handrail,,
bogota,235081944,urban,above_ground_mixed,some people came to see the map when we were swabing,4.684097947,-74.05732312,plastic,map,,
bogota,235074124,urban,above_ground_closed,full bus,4.658434865,-74.06202727,plastic,seat,,
bogota,235074137,urban,above_ground_closed,full bus,4.658483607,-74.06204855,glass,window,,
bogota,235082258,urban,above_ground_closed,full bus,4.65843067,-74.06210244,metal_plastic,pole,,
bogota,235072672,urban,above_ground_mixed,full station,4.658938763,-74.06188434,metal,turnstile,,
bogota,235082300,urban,above_ground_mixed,,4.658163502,-74.06199559,metal,handrail,,
bogota,235074149,urban,above_ground_mixed,,4.658040323,-74.06192837,plastic,map,,
bogota,235074142,urban,above_ground_closed,,4.616414821,-74.07189244,plastic,seat,,
bogota,235074155,urban,above_ground_closed,,4.616561051,-74.07200384,glass,window,,
bogota,235082293,urban,above_ground_closed,,4.616426051,-74.07220615,metal,pole,,
bogota,235078144,urban,above_ground_mixed,,4.617274143,-74.07197027,metal,handrail,,
bogota,235082259,urban,above_ground_mixed,,4.617022782,-74.07185351,plastic,map,,
bogota,235082302,urban,above_ground_closed,,4.601650749,-74.08109329,plastic,seat,,
bogota,235078189,urban,above_ground_closed,,4.5821041,-74.10106125,glass,window,,
bogota,235074129,urban,above_ground_closed,,4.582117853,-74.10132452,metal_plastic,pole,,
bogota,235082330,urban,above_ground_mixed,,4.581918447,-74.10107015,metal,turnstile,,
bogota,235082277,urban,above_ground_mixed,,4.582026347,-74.101264,metal,handrail,,
bogota,235073084,urban,above_ground_mixed,,4.581980146,-74.10122293,plastic,map,,
bogota,235082253,urban,above_ground_closed,,4.532119962,-74.1194104,plastic,seat,,
bogota,235082318,urban,above_ground_closed,,4.532172849,-74.11935066,glass,window,,
bogota,235073113,urban,above_ground_closed,,4.532246493,-74.11934938,metal_plastic,pole,,
bogota,235082347,urban,above_ground_open,,4.532299951,-74.11955162,metal,turnstile,,
bogota,235074147,urban,above_ground_open,,4.532312828,-74.11945394,plastic,map,,
bogota,235073131,urban,above_ground_open,,4.532268223,-74.11922374,metal,handrail,,
bogota,235072736,urban,above_ground_open,,4.6031343,-74.0668794,metal,turnstile,,
bogota,235074126,urban,above_ground_open,,4.68098917,-74.12047259,metal,handrail,,
bogota,235078159,urban,above_ground_open,,4.68109043,-74.12089503,plastic,map,,
bogota,235078165,urban,above_ground_closed,,4.68419068,-74.12410885,plastic,seat,,
bogota,235082285,urban,above_ground_closed,,4.65706637,-74.10571837,glass,window,,
bogota,235074160,urban,above_ground_closed,,4.63568625,-74.09195219,metal_plastic,pole,,
bogota,235081071,urban,above_ground_mixed,,4.63417388,-74.08956907,metal_plastic,turnstile,,
bogota,235073120,urban,above_ground_mixed,,4.63417672,-74.08947959,metal_plastic,handrail,,
bogota,235081963,urban,above_ground_mixed,,4.63417137,-74.08943192,plastic,map,,
bogota,235072696,urban,above_ground_closed,,4.6346039,-74.0908569,plastic,seat,,
bogota,235074141,urban,above_ground_closed,,4.6502858,-74.10116366,glass,window,,
bogota,235072675,urban,above_ground_closed,,4.66817853,-74.1125638,metal_plastic,pole,,
bogota,235072676,urban,above_ground_closed,,4.68196556,-74.12130149,metal_plastic,seat,,
bogota,235074144,urban,above_ground_closed,,4.67259749,-74.11563485,glass,window,,
bogota,235082327,urban,above_ground_closed,,4.65672248,-74.10561749,metal_plastic,pole,,
bogota,235074134,urban,above_ground_mixed,,4.65120885,-74.10186144,metal,turnstile,,
bogota,235073066,urban,above_ground_mixed,,4.65063879,-74.10150721,metal,handrail,,
bogota,235081937,urban,above_ground_mixed,,4.65077173,-74.10152316,plastic,map,,
