Sample_ID,Date_Collected,Collected_By,Country,State,City,Subway/Bus/Station,Description,Line(Station Only),Average_Ridership,Latitude,Longitude,Object_Swabbed,Surface_Material,Temperature ℃,Collection_Time,,,
CSD16-BOG-066,6/21/16,,Colombia,N/A,Bogota,Station,Portal 20 de Julio,L,,4.6790166000,-74.1197150000,Turnstile,Stainless steel,,6:45:00 PM,,,
CSD16-BOG-067,6/21/16,,Colombia,N/A,Bogota,Station,Portal del Sur,G,,4.5935633000,-74.1294585000,Map,Vinyl,,3:43:00 PM,,,
CSD16-BOG-068,6/21/16,,Colombia,N/A,Bogota,Station,Portal del Sur,G,,4.5935633000,-74.1294585000,Turnstile,Stainless steel,,3:54:00 PM,,,
CSD16-BOG-069,6/21/16,,Colombia,N/A,Bogota,Station,Portal del Sur,G,,4.5935633000,-74.1294585000,Railing,Stainless steel,,3:54:00 PM,,,
CSD16-BOG-070,6/21/16,,Colombia,N/A,Bogota,Bus,,G,,4.6114342008,-74.0941108671,Window,Glass,,4:17:00 PM,,,
CSD16-BOG-071,6/21/16,,Colombia,N/A,Bogota,Bus,,G,,4.6133752000,-74.0937326000,Pole,Metal,,4:17:00 PM,,,
CSD16-BOG-072,6/21/16,,Colombia,N/A,Bogota,Bus,,G,,4.6133752000,-74.0937326000,Seat,Plastic,,4:22:00 PM,,,
CSD16-BOG-073,6/21/16,,Colombia,N/A,Bogota,Station,General Santander,G,,4.6082843600,-74.0766038200,Map,Vinyl,,4:45:00 PM,,,
CSD16-BOG-074,6/21/16,,Colombia,N/A,Bogota,Station,General Santander,G,,4.6082843600,-74.0766038200,Railing,Stainless steel,,4:47:00 PM,,,
CSD16-BOG-075,6/21/16,,Colombia,N/A,Bogota,Station,General Santander,G,,4.6163072700,-74.0723853200,Turnstile,Stainless steel,,4:49:00 PM,,,
CSD16-BOG-076,6/21/16,,Colombia,N/A,Bogota,Bus,,E,,4.6067909800,-74.0777038300,Pole,Metal,,5:11:00 PM,,,
CSD16-BOG-077,6/21/16,,Colombia,N/A,Bogota,Bus,,E,,4.5935633000,-74.1294585000,Window,Glass,,5:14:00 PM,,,
CSD16-BOG-078,6/21/16,,Colombia,N/A,Bogota,Bus,,E,,4.6137916000,-74.0916066000,Seat,Plastic,,5:17:00 PM,,,
CSD16-BOG-079,6/21/16,,Colombia,N/A,Bogota,Station,CAD,E,,4.5817527600,-74.1017559000,Turnstile,Stainless steel,,5:29:00 PM,,,
CSD16-BOG-080,6/21/16,,Colombia,N/A,Bogota,Station,CAD,E,,4.5814798400,-74.1017498300,Railing,Stainless steel,,5:22:00 PM,,,
CSD16-BOG-081,6/21/16,,Colombia,N/A,Bogota,Station,CAD,E,,4.5814798400,-74.1017498300,Map,Vinyl,,5:25:00 PM,,,
CSD16-BOG-082,6/21/16,,Colombia,N/A,Bogota,Bus,,E,,4.5816092300,-74.1018810100,Seat,Plastic,,6:11:00 PM,,,
CSD16-BOG-083,6/21/16,,Colombia,N/A,Bogota,Bus,,E,,4.6068666000,-74.0835716000,Window,Glass,,6:07:00 PM,,,
CSD16-BOG-084,6/21/16,,Colombia,N/A,Bogota,Bus,,E,,4.6234061000,-74.0837891000,Pole,Metal,,6:13:00 PM,,,
CSD16-BOG-085,6/21/16,,Colombia,N/A,Bogota,Bus,,D,,4.6068083000,-74.0834933000,Seat,Plastic,,6:14:00 PM,,,
CSD16-BOG-086,6/21/16,,Colombia,N/A,Bogota,Bus,,D,,4.6068083000,-74.0834933000,Pole,Metal,,6:31:00 PM,,,
CSD16-BOG-087,6/21/16,,Colombia,N/A,Bogota,Bus,,D,,4.6234711000,-74.0838923000,Window,Glass,,6:02:00 PM,,,
CSD16-BOG-088,6/21/16,,Colombia,N/A,Bogota,Station,Avenida 68,D,,4.6024166000,-74.0783816000,Turnstile,Stainless steel,,6:31:00 PM,,,
CSD16-BOG-089,6/21/16,,Colombia,N/A,Bogota,Station,Avenida 68,D,,4.6024166000,-74.0783816000,Railing,Stainless steel,,6:10:00 PM,,,
CSD16-BOG-090,6/21/16,,Colombia,N/A,Bogota,Station,Avenida 68,D,,4.6024166000,-74.0783816000,Map,Vinyl,,6:10:00 PM,,,
CSD16-BOG-091,6/21/16,,Colombia,N/A,Bogota,Bus,,D,,4.6234550000,-74.0839496000,Window,Glass,,8:05:00 PM,,,
CSD16-BOG-092,6/21/16,,Colombia,N/A,Bogota,Bus,,D,,4.6234932000,-74.0839484000,Seat,Plastic,,8:07:00 PM,,,
CSD16-BOG-093,6/21/16,,Colombia,N/A,Bogota,Bus,,D,,4.6211692000,-74.0852599000,Pole,Metal,,8:09:00 PM,,,
CSD16-BOG-094,6/21/16,,Colombia,N/A,Bogota,Station,Portal de la 80,D,,4.5745139100,-74.1234377000,Turnstile,Stainless steel,,8:10:00 PM,,,
CSD16-BOG-095,6/21/16,,Colombia,N/A,Bogota,Station,Portal de la 80,D,,4.5765820300,-74.1158715400,Map,Vinyl,,8:14:00 PM,,,
CSD16-BOG-096,6/21/16,,Colombia,N/A,Bogota,Station,Portal de la 80,D,,4.5817178000,-74.1017671000,Railing,Stainless steel,,8:13:00 PM,,,
CSD16-HKG-0001,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Outdoor,University,,,22.4273386,114.2124407,Bench,Metal,30.7,6:27:00 AM,,,
CSD16-HKG-0002,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Outdoor,University,,,22.42780533,114.2120504,By waterfront. ,Stone,32.2,6:01:00 AM,,,
CSD16-HKG-0003,6/20/16,Hedwig Cheung,China,N/A,Hong Kong,Indoor,University,,,22.4255819,114.2109227,Elevator Button,Metal,29.9,6:20:00 AM,,,
CSD16-HKG-0004,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,University,,,22.4130103,114.2106522,Kiosk,Glass,29.4,7:00:00 AM,,,
CSD16-HKG-0005,6/20/16,Marcus H Y Leung,China,N/A,Hong Kong,Metro,University,,,22.41331272,114.210478,Handrail,Metal,29.8,7:03:00 AM,,,
