INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND_OUTBOUND_METADATA,OUTBOUND,OUTBOUND,OUTBOUND,METADATA
inbound_7,inbound_7__D12,inbound_7,D12,235031241,nyc_8__D01,New_York_City,USA,New_York_City
inbound_7,inbound_7__E02,inbound_7,E02,235030714,nyc_9__F08,New_York_City,USA,New_York_City
inbound_7,inbound_7__E03,inbound_7,E03,235030716,nyc_9__H05,New_York_City,USA,New_York_City
inbound_7,inbound_7__E06,inbound_7,E06,235030055,nyc_4__H12,New_York_City,USA,New_York_City
inbound_7,inbound_7__E07,inbound_7,E07,235033985,nyc_4__E11,New_York_City,USA,New_York_City
inbound_7,inbound_7__E08,inbound_7,E08,235030711,nyc_9__D10,New_York_City,USA,New_York_City
inbound_7,inbound_7__E09,inbound_7,E09,235031281,nyc_8__E04,New_York_City,USA,New_York_City
inbound_7,inbound_7__E10,inbound_7,E10,235031213,nyc_8__E03,New_York_City,USA,New_York_City
inbound_7,inbound_7__E11,inbound_7,E11,235030934,nyc_8__E02,New_York_City,USA,New_York_City
inbound_7,inbound_7__E12,inbound_7,E12,235031230,nyc_8__E01,New_York_City,USA,New_York_City
inbound_7,inbound_7__F02,inbound_7,F02,235030754,nyc_9__A05,New_York_City,USA,New_York_City
inbound_7,inbound_7__F03,inbound_7,F03,235030734,nyc_9__F05,New_York_City,USA,New_York_City
inbound_7,inbound_7__F05,inbound_7,F05,235034009,nyc_4__D09,New_York_City,USA,New_York_City
inbound_7,inbound_7__F07,inbound_7,F07,235030062,nyc_4__C12,New_York_City,USA,New_York_City
inbound_7,inbound_7__F08,inbound_7,F08,235030773,nyc_9__C12,New_York_City,USA,New_York_City
inbound_7,inbound_7__F09,inbound_7,F09,235031233,nyc_8__F04,New_York_City,USA,New_York_City
inbound_7,inbound_7__F10,inbound_7,F10,235031259,nyc_8__F03,New_York_City,USA,New_York_City
inbound_7,inbound_7__F11,inbound_7,F11,235031279,nyc_8__F02,New_York_City,USA,New_York_City
inbound_7,inbound_7__F12,inbound_7,F12,235031238,nyc_8__F01,New_York_City,USA,New_York_City
inbound_7,inbound_7__G01,inbound_7,G01,235030745,nyc_9__G06,New_York_City,USA,New_York_City
inbound_7,inbound_7__G03,inbound_7,G03,235030749,nyc_9__F07,New_York_City,USA,New_York_City
inbound_7,inbound_7__G03,inbound_7,G03,235030749,nyc_9__F07,New_York_City,USA,New_York_City
inbound_7,inbound_7__G07,inbound_7,G07,235030097,nyc_4__B11,New_York_City,USA,New_York_City
inbound_7,inbound_7__G08,inbound_7,G08,235030090,nyc_4__H10,New_York_City,USA,New_York_City
inbound_7,inbound_7__G09,inbound_7,G09,235031280,nyc_8__H04,New_York_City,USA,New_York_City
inbound_7,inbound_7__G10,inbound_7,G10,235031235,nyc_8__G03,New_York_City,USA,New_York_City
inbound_7,inbound_7__G11,inbound_7,G11,235031243,nyc_8__G02,New_York_City,USA,New_York_City
inbound_7,inbound_7__G12,inbound_7,G12,235031237,nyc_8__G01,New_York_City,USA,New_York_City
inbound_7,inbound_7__H02,inbound_7,H02,235030712,nyc_9__A08,New_York_City,USA,New_York_City
inbound_7,inbound_7__H04,inbound_7,H04,235030717,nyc_9__D05,New_York_City,USA,New_York_City
inbound_7,inbound_7__H06,inbound_7,H06,235030060,nyc_4__G12,New_York_City,USA,New_York_City
inbound_7,inbound_7__H07,inbound_7,H07,235034016,nyc_4__B10,New_York_City,USA,New_York_City
inbound_7,inbound_7__H08,inbound_7,H08,235030125,nyc_4__F08,New_York_City,USA,New_York_City
inbound_7,inbound_7__H09,inbound_7,H09,235030780,nyc_9__E11,New_York_City,USA,New_York_City
inbound_7,inbound_7__H10,inbound_7,H10,235031282,nyc_8__H03,New_York_City,USA,New_York_City
inbound_7,inbound_7__H11,inbound_7,H11,235030912,nyc_8__H02,New_York_City,USA,New_York_City
inbound_7,inbound_7__H12,inbound_7,H12,235031231,nyc_8__H01,New_York_City,USA,New_York_City
inbound_8,inbound_8__A07,inbound_8,A07,232019333,nyc_10__G09,New_York_City,USA,New_York_City
inbound_8,inbound_8__A08,inbound_8,A08,232019312,nyc_10__E10,New_York_City,USA,New_York_City
inbound_8,inbound_8__A09,inbound_8,A09,235196525,nyc_10__B10,New_York_City,USA,New_York_City
inbound_8,inbound_8__A10,inbound_8,A10,235196478,nyc_10__D12,New_York_City,USA,New_York_City
inbound_8,inbound_8__A11,inbound_8,A11,235031019,nyc_9__B12,New_York_City,USA,New_York_City
inbound_8,inbound_8__A12,inbound_8,A12,235029454,nyc_9__C11,New_York_City,USA,New_York_City
inbound_8,inbound_8__B07,inbound_8,B07,235196483,nyc_10__D10,New_York_City,USA,New_York_City
inbound_8,inbound_8__B08,inbound_8,B08,235196556,nyc_10__F10,New_York_City,USA,New_York_City
inbound_8,inbound_8__B09,inbound_8,B09,232021648,nyc_10__F09,New_York_City,USA,New_York_City
inbound_8,inbound_8__B10,inbound_8,B10,235198252,nyc_10__A09,New_York_City,USA,New_York_City
inbound_8,inbound_8__B11,inbound_8,B11,235030802,nyc_9__G11,New_York_City,USA,New_York_City
inbound_8,inbound_8__B12,inbound_8,B12,235030792,nyc_9__F12,New_York_City,USA,New_York_City
inbound_8,inbound_8__C07,inbound_8,C07,232019320,nyc_10__H12,New_York_City,USA,New_York_City
inbound_8,inbound_8__C08,inbound_8,C08,232019290,nyc_10__G11,New_York_City,USA,New_York_City
inbound_8,inbound_8__C09,inbound_8,C09,232019315,nyc_10__D11,New_York_City,USA,New_York_City
inbound_8,inbound_8__C10,inbound_8,C10,235030800,nyc_9__D11,New_York_City,USA,New_York_City
inbound_8,inbound_8__C11,inbound_8,C11,235030747,nyc_9__C10,New_York_City,USA,New_York_City
inbound_8,inbound_8__C12,inbound_8,C12,235030741,nyc_9__E10,New_York_City,USA,New_York_City
inbound_8,inbound_8__D07,inbound_8,D07,232019332,nyc_10__B09,New_York_City,USA,New_York_City
inbound_8,inbound_8__D08,inbound_8,D08,232019325,nyc_10__H09,New_York_City,USA,New_York_City
inbound_8,inbound_8__D09,inbound_8,D09,232019330,nyc_10__A11,New_York_City,USA,New_York_City
inbound_8,inbound_8__D10,inbound_8,D10,235030731,nyc_9__H09,New_York_City,USA,New_York_City
inbound_8,inbound_8__D11,inbound_8,D11,235031011,nyc_9__H12,New_York_City,USA,New_York_City
inbound_8,inbound_8__D12,inbound_8,D12,235030759,nyc_9__F10,New_York_City,USA,New_York_City
inbound_8,inbound_8__E06,inbound_8,E06,235198206,nyc_10__C11,New_York_City,USA,New_York_City
inbound_8,inbound_8__E07,inbound_8,E07,235196538,nyc_10__E11,New_York_City,USA,New_York_City
inbound_8,inbound_8__E08,inbound_8,E08,232021988,nyc_10__C12,New_York_City,USA,New_York_City
inbound_8,inbound_8__E09,inbound_8,E09,232019291,nyc_10__H11,New_York_City,USA,New_York_City
inbound_8,inbound_8__E10,inbound_8,E10,235030720,nyc_9__E09,New_York_City,USA,New_York_City
inbound_8,inbound_8__E11,inbound_8,E11,235030795,nyc_9__A12,New_York_City,USA,New_York_City
inbound_8,inbound_8__F06,inbound_8,F06,232019302,nyc_10__F11,New_York_City,USA,New_York_City
inbound_8,inbound_8__F07,inbound_8,F07,235193709,nyc_10__C10,New_York_City,USA,New_York_City
inbound_8,inbound_8__F08,inbound_8,F08,235196561,nyc_10__E12,New_York_City,USA,New_York_City
inbound_8,inbound_8__F09,inbound_8,F09,232019327,nyc_10__E09,New_York_City,USA,New_York_City
inbound_8,inbound_8__F10,inbound_8,F10,235030713,nyc_9__A10,New_York_City,USA,New_York_City
inbound_8,inbound_8__F11,inbound_8,F11,235030736,nyc_9__D09,New_York_City,USA,New_York_City
inbound_8,inbound_8__F12,inbound_8,F12,235030719,nyc_9__A09,New_York_City,USA,New_York_City
inbound_8,inbound_8__G06,inbound_8,G06,232019316,nyc_10__G12,New_York_City,USA,New_York_City
inbound_8,inbound_8__G07,inbound_8,G07,235196486,nyc_10__A10,New_York_City,USA,New_York_City
inbound_8,inbound_8__G08,inbound_8,G08,232019310,nyc_10__C09,New_York_City,USA,New_York_City
inbound_8,inbound_8__G09,inbound_8,G09,232022000,nyc_10__B11,New_York_City,USA,New_York_City
inbound_8,inbound_8__G10,inbound_8,G10,235030785,nyc_9__G12,New_York_City,USA,New_York_City
inbound_8,inbound_8__G11,inbound_8,G11,235031000,nyc_9__H10,New_York_City,USA,New_York_City
inbound_8,inbound_8__G12,inbound_8,G12,235030763,nyc_9__D12,New_York_City,USA,New_York_City
inbound_8,inbound_8__H06,inbound_8,H06,232021655,nyc_10__A12,New_York_City,USA,New_York_City
inbound_8,inbound_8__H07,inbound_8,H07,232019328,nyc_10__D09,New_York_City,USA,New_York_City
inbound_8,inbound_8__H08,inbound_8,H08,232021979,nyc_10__H10,New_York_City,USA,New_York_City
inbound_8,inbound_8__H09,inbound_8,H09,232021960,nyc_10__B12,New_York_City,USA,New_York_City
inbound_8,inbound_8__H10,inbound_8,H10,235030742,nyc_9__G09,New_York_City,USA,New_York_City
inbound_8,inbound_8__H11,inbound_8,H11,235030779,nyc_9__H11,New_York_City,USA,New_York_City
inbound_8,inbound_8__H12,inbound_8,H12,235030784,nyc_9__A11,New_York_City,USA,New_York_City
inbound_9,inbound_9__A11,inbound_9,A11,235030992,nyc_8__B10,New_York_City,USA,New_York_City
inbound_9,inbound_9__B01,inbound_9,B01,235030963,nyc_8__C11,New_York_City,USA,New_York_City
inbound_9,inbound_9__B02,inbound_9,B02,235030941,nyc_8__G12,New_York_City,USA,New_York_City
inbound_9,inbound_9__B03,inbound_9,B03,235030040,nyc_8__D11,New_York_City,USA,New_York_City
inbound_9,inbound_9__B04,inbound_9,B04,235030966,nyc_8__B09,New_York_City,USA,New_York_City
inbound_9,inbound_9__B05,inbound_9,B05,235030045,nyc_8__C10,New_York_City,USA,New_York_City
inbound_9,inbound_9__B06,inbound_9,B06,235030922,nyc_8__H12,New_York_City,USA,New_York_City
inbound_9,inbound_9__B07,inbound_9,B07,235030046,nyc_8__E12,New_York_City,USA,New_York_City
inbound_9,inbound_9__B08,inbound_9,B08,235030051,nyc_8__G10,New_York_City,USA,New_York_City
inbound_9,inbound_9__B09,inbound_9,B09,235030957,nyc_8__A11,New_York_City,USA,New_York_City
inbound_9,inbound_9__B10,inbound_9,B10,235030903,nyc_8__F12,New_York_City,USA,New_York_City
inbound_9,inbound_9__B11,inbound_9,B11,235030977,nyc_8__G09,New_York_City,USA,New_York_City
inbound_9,inbound_9__B12,inbound_9,B12,235030071,nyc_8__E10,New_York_City,USA,New_York_City
inbound_9,inbound_9__C01,inbound_9,C01,235030041,nyc_8__F09,New_York_City,USA,New_York_City
inbound_9,inbound_9__C02,inbound_9,C02,235030955,nyc_8__H10,New_York_City,USA,New_York_City
inbound_9,inbound_9__C03,inbound_9,C03,235030994,nyc_8__H11,New_York_City,USA,New_York_City
inbound_9,inbound_9__C05,inbound_9,C05,235030978,nyc_8__G11,New_York_City,USA,New_York_City
inbound_9,inbound_9__C07,inbound_9,C07,235030968,nyc_8__E11,New_York_City,USA,New_York_City
inbound_9,inbound_9__C08,inbound_9,C08,235030946,nyc_8__A10,New_York_City,USA,New_York_City
inbound_9,inbound_9__C09,inbound_9,C09,235030050,nyc_8__F11,New_York_City,USA,New_York_City
inbound_9,inbound_9__C10,inbound_9,C10,235030904,nyc_8__D09,New_York_City,USA,New_York_City
inbound_9,inbound_9__C11,inbound_9,C11,235030928,nyc_8__C12,New_York_City,USA,New_York_City
inbound_9,inbound_9__C12,inbound_9,C12,235030990,nyc_8__A09,New_York_City,USA,New_York_City
inbound_9,inbound_9__D04,inbound_9,D04,235030947,nyc_8__B11,New_York_City,USA,New_York_City
inbound_9,inbound_9__D12,inbound_9,D12,235030049,nyc_8__B12,New_York_City,USA,New_York_City
inbound_9,inbound_9__E08,inbound_9,E08,235034020,nyc_5__H01,New_York_City,USA,New_York_City
inbound_9,inbound_9__F01,inbound_9,F01,235030113,nyc_5__F01,New_York_City,USA,New_York_City
inbound_9,inbound_9__F03,inbound_9,F03,235034001,nyc_5__C01,New_York_City,USA,New_York_City
inbound_9,inbound_9__F04,inbound_9,F04,235030102,nyc_5__B01,New_York_City,USA,New_York_City
inbound_9,inbound_9__F05,inbound_9,F05,235033990,nyc_5__C04,New_York_City,USA,New_York_City
inbound_9,inbound_9__F07,inbound_9,F07,235030131,nyc_5__D03,New_York_City,USA,New_York_City
inbound_9,inbound_9__F10,inbound_9,F10,235030081,nyc_5__E02,New_York_City,USA,New_York_City
inbound_9,inbound_9__F11,inbound_9,F11,235033980,nyc_5__C03,New_York_City,USA,New_York_City
inbound_9,inbound_9__F12,inbound_9,F12,235030983,nyc_8__H09,New_York_City,USA,New_York_City
inbound_9,inbound_9__G01,inbound_9,G01,235030119,nyc_5__A01,New_York_City,USA,New_York_City
inbound_9,inbound_9__G02,inbound_9,G02,235030082,nyc_5__B04,New_York_City,USA,New_York_City
inbound_9,inbound_9__G07,inbound_9,G07,235030085,nyc_5__D04,New_York_City,USA,New_York_City
inbound_9,inbound_9__G08,inbound_9,G08,235030068,nyc_8__D10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A01,nyc_inbound_1,A01,235030106,nyc_5__H09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A02,nyc_inbound_1,A02,235030065,nyc_5__A10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A03,nyc_inbound_1,A03,235030093,nyc_5__D10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A04,nyc_inbound_1,A04,235034042,nyc_5__H10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A08,nyc_inbound_1,A08,235034142,nyc_3__H10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A09,nyc_inbound_1,A09,235034137,nyc_3__E12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A10,nyc_inbound_1,A10,235034127,nyc_3__B11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A11,nyc_inbound_1,A11,235034158,nyc_3__D11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__A12,nyc_inbound_1,A12,232020779,nyc_2__H12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B01,nyc_inbound_1,B01,235030098,nyc_5__G09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B02,nyc_inbound_1,B02,235033982,nyc_5__D09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B03,nyc_inbound_1,B03,235030103,nyc_5__C10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B04,nyc_inbound_1,B04,235034055,nyc_5__G10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B08,nyc_inbound_1,B08,235034128,nyc_3__C09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B09,nyc_inbound_1,B09,235034094,nyc_3__A09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B10,nyc_inbound_1,B10,235034136,nyc_3__F11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B11,nyc_inbound_1,B11,235034099,nyc_3__E09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__B12,nyc_inbound_1,B12,232021942,nyc_2__A09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C01,nyc_inbound_1,C01,235030096,nyc_5__F09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C02,nyc_inbound_1,C02,235034012,nyc_5__C09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C03,nyc_inbound_1,C03,235034025,nyc_5__D11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C04,nyc_inbound_1,C04,235034033,nyc_5__H11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C08,nyc_inbound_1,C08,235034095,nyc_3__D10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C09,nyc_inbound_1,C09,235034112,nyc_3__E10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C10,nyc_inbound_1,C10,235034140,nyc_3__A12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C11,nyc_inbound_1,C11,235034150,nyc_3__C10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__C12,nyc_inbound_1,C12,232021478,nyc_2__A10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D01,nyc_inbound_1,D01,235030092,nyc_5__E09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D02,nyc_inbound_1,D02,235034041,nyc_5__A12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D03,nyc_inbound_1,D03,235034050,nyc_5__E11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D08,nyc_inbound_1,D08,235034096,nyc_3__D09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D09,nyc_inbound_1,D09,235034124,nyc_3__A10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D10,nyc_inbound_1,D10,235034123,nyc_3__G10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D11,nyc_inbound_1,D11,235034146,nyc_3__E11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__D12,nyc_inbound_1,D12,232020816,nyc_2__B10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E01,nyc_inbound_1,E01,235030099,nyc_5__B09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E02,nyc_inbound_1,E02,235034023,nyc_5__B12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E03,nyc_inbound_1,E03,235034068,nyc_5__F10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E08,nyc_inbound_1,E08,235034162,nyc_3__C11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E09,nyc_inbound_1,E09,235034115,nyc_3__F10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E10,nyc_inbound_1,E10,235034097,nyc_3__C12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E11,nyc_inbound_1,E11,235034134,nyc_3__G09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__E12,nyc_inbound_1,E12,235198298,nyc_2__D10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F01,nyc_inbound_1,F01,235030077,nyc_5__A09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F02,nyc_inbound_1,F02,235034063,nyc_5__C12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F03,nyc_inbound_1,F03,235030079,nyc_5__E10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F08,nyc_inbound_1,F08,235034152,nyc_3__B12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F09,nyc_inbound_1,F09,235034118,nyc_3__G12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F10,nyc_inbound_1,F10,235034126,nyc_3__A11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F11,nyc_inbound_1,F11,235034160,nyc_3__F09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__F12,nyc_inbound_1,F12,232021513,nyc_2__C10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G01,nyc_inbound_1,G01,235034026,nyc_5__A11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G02,nyc_inbound_1,G02,235034060,nyc_5__C11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G03,nyc_inbound_1,G03,235034054,nyc_5__G11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G08,nyc_inbound_1,G08,235034125,nyc_3__D12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G09,nyc_inbound_1,G09,235034098,nyc_3__G11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G10,nyc_inbound_1,G10,235034113,nyc_3__B10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G11,nyc_inbound_1,G11,232034722,nyc_2__G11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__G12,nyc_inbound_1,G12,232020821,nyc_2__E10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H01,nyc_inbound_1,H01,235030126,nyc_5__B10,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H02,nyc_inbound_1,H02,235034024,nyc_5__B11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H03,nyc_inbound_1,H03,235034052,nyc_5__F11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H07,nyc_inbound_1,H07,235034143,nyc_3__H09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H08,nyc_inbound_1,H08,235034164,nyc_3__F12,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H09,nyc_inbound_1,H09,235034108,nyc_3__H11,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H10,nyc_inbound_1,H10,235034161,nyc_3__B09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H11,nyc_inbound_1,H11,235198242,nyc_2__B09,New_York_City,USA,New_York_City
Inbound_1,nyc_inbound_1__H12,nyc_inbound_1,H12,235196568,nyc_2__C09,New_York_City,USA,New_York_City
inbound_5,inbound_5__A06,inbound_5,A06,232023359,san_francisco_ca_1__G01,San_Francisco,USA,San_Francisco
inbound_5,inbound_5__A08,inbound_5,A08,232022140,san_francisco_ca_1__A01,San_Francisco,USA,San_Francisco
inbound_5,inbound_5__D10,inbound_5,D10,232022199,san_francisco_ca_1__C01,San_Francisco,USA,San_Francisco
inbound_5,inbound_5__G10,inbound_5,G10,232023281,san_francisco_ca_1__B01,San_Francisco,USA,San_Francisco
inbound_5,inbound_5__H10,inbound_5,H10,232023363,san_francisco_ca_1__D01,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__A01,inbound_8,A01,232022170,san_francisco_ca_1__H01,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__A02,inbound_8,A02,232022175,san_francisco_ca_1__D02,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__B01,inbound_8,B01,232023278,san_francisco_ca_1__E01,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__B02,inbound_8,B02,232023283,san_francisco_ca_1__G02,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__C01,inbound_8,C01,232023307,san_francisco_ca_1__F01,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__C02,inbound_8,C02,232023324,san_francisco_ca_1__B02,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__D01,inbound_8,D01,232023349,san_francisco_ca_1__B03,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__D02,inbound_8,D02,232022207,san_francisco_ca_1__A03,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__E01,inbound_8,E01,232022131,san_francisco_ca_1__C03,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__E02,inbound_8,E02,232022169,san_francisco_ca_1__H02,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__F01,inbound_8,F01,232023365,san_francisco_ca_1__A02,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__F02,inbound_8,F02,232022182,san_francisco_ca_1__C02,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__G01,inbound_8,G01,232023354,san_francisco_ca_1__F02,San_Francisco,USA,San_Francisco
inbound_8,inbound_8__H01,inbound_8,H01,232022139,san_francisco_ca_1__E02,San_Francisco,USA,San_Francisco
control,negative_controls_inbound__B02,negative_controls_inbound,B02,232022192,san_francisco_ca_1__D03,San_Francisco,USA,San_Francisco
control,negative_controls_inbound__A04,negative_controls_inbound,A04,235030381,\N,\N,\N,Sao_Paulo
control,negative_controls_inbound__G03,negative_controls_inbound,G03,235030366,\N,\N,\N,Sao_Paulo
control,negative_controls_inbound__H03,negative_controls_inbound,H03,235030412,\N,\N,\N,Sao_Paulo
inbound_13,inbound_13__A01,inbound_13,A01,235042105,sao_paulo_brazil__1__H07,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A02,inbound_13,A02,235038358,sao_paulo_brazil__1__H08,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A03,inbound_13,A03,235060258,sao_paulo_brazil__1__A10,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A04,inbound_13,A04,235060256,sao_paulo_brazil__1__H10,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A05,inbound_13,A05,235041150,sao_paulo_brazil__1__H12,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A06,inbound_13,A06,235041509,sao_paulo_brazil__1__A02,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A07,inbound_13,A07,235041545,sao_paulo_brazil__1__E06,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A08,inbound_13,A08,235059993,sao_paulo_brazil__1__G07,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A09,inbound_13,A09,235041219,sao_paulo_brazil__2_real_1__G01,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A10,inbound_13,A10,235041662,sao_paulo_brazil__2_real_1__G02,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A11,inbound_13,A11,235041650,sao_paulo_brazil__2_real_1__G03,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__A12,inbound_13,A12,235041257,sao_paulo_brazil__2_real_1__G04,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B01,inbound_13,B01,235039204,sao_paulo_brazil__1__A08,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B02,inbound_13,B02,235060077,sao_paulo_brazil__1__A09,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B03,inbound_13,B03,235059989,sao_paulo_brazil__1__B10,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B04,inbound_13,B04,235038850,sao_paulo_brazil__1__B11,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B05,inbound_13,B05,235039233,sao_paulo_brazil__1__E11,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B06,inbound_13,B06,235040410,sao_paulo_brazil__1__D02,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B07,inbound_13,B07,235060012,sao_paulo_brazil__1__G06,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B08,inbound_13,B08,235041615,sao_paulo_brazil__1__E07,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B09,inbound_13,B09,235041528,sao_paulo_brazil__2_real_1__H01,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B10,inbound_13,B10,235041244,sao_paulo_brazil__2_real_1__H02,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B11,inbound_13,B11,235040352,sao_paulo_brazil__2_real_1__H03,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__B12,inbound_13,B12,235060225,sao_paulo_brazil__1__E01,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__C01,inbound_13,C01,235060183,sao_paulo_brazil__1__C08,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__C02,inbound_13,C02,235060050,sao_paulo_brazil__1__B09,Sao_Paulo,Brazil,Sao_Paulo
inbound_13,inbound_13__C03,inbound_13,C03,235038330,sao_paulo_brazil__1__H09,Sao_Paulo,Brazil,Sao_Paulo
