INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND-DATASET,INBOUND_OUTBOUND_METADATA,OUTBOUND,OUTBOUND,OUTBOUND,METADATA
inbound_3,inbound_3__A01,inbound_3,A01,232021493,nyc_7__A01,New_York_City,USA,\N
inbound_3,inbound_3__A02,inbound_3,A02,235198207,nyc_7__A02,New_York_City,USA,\N
inbound_3,inbound_3__A03,inbound_3,A03,235198215,nyc_7__A03,New_York_City,USA,\N
inbound_3,inbound_3__B01,inbound_3,B01,235196490,nyc_7__B01,New_York_City,USA,\N
inbound_3,inbound_3__B02,inbound_3,B02,232021522,nyc_7__B02,New_York_City,USA,\N
inbound_3,inbound_3__B03,inbound_3,B03,235196537,nyc_7__B03,New_York_City,USA,\N
inbound_3,inbound_3__B04,inbound_3,B04,232020794,nyc_7__B04,New_York_City,USA,\N
inbound_3,inbound_3__C01,inbound_3,C01,232020802,nyc_7__C01,New_York_City,USA,\N
inbound_3,inbound_3__C02,inbound_3,C02,232020775,nyc_7__C02,New_York_City,USA,\N
inbound_3,inbound_3__C03,inbound_3,C03,235196500,nyc_7__C03,New_York_City,USA,\N
inbound_3,inbound_3__C04,inbound_3,C04,232020801,nyc_7__C04,New_York_City,USA,\N
inbound_3,inbound_3__D01,inbound_3,D01,235198294,nyc_7__D01,New_York_City,USA,\N
inbound_3,inbound_3__D02,inbound_3,D02,232020782,nyc_7__D02,New_York_City,USA,\N
inbound_3,inbound_3__D03,inbound_3,D03,235196499,nyc_7__D03,New_York_City,USA,\N
inbound_3,inbound_3__D04,inbound_3,D04,232020796,nyc_7__D04,New_York_City,USA,\N
inbound_3,inbound_3__E01,inbound_3,E01,232020793,nyc_7__E01,New_York_City,USA,\N
inbound_3,inbound_3__E02,inbound_3,E02,232021499,nyc_7__E02,New_York_City,USA,\N
inbound_3,inbound_3__E03,inbound_3,E03,235196325,nyc_7__E03,New_York_City,USA,\N
inbound_3,inbound_3__E04,inbound_3,E04,232021456,nyc_7__E04,New_York_City,USA,\N
inbound_3,inbound_3__E09,inbound_3,E09,232021457,nyc_1__B07,New_York_City,USA,\N
inbound_3,inbound_3__F01,inbound_3,F01,232021533,nyc_7__F01,New_York_City,USA,\N
inbound_3,inbound_3__F02,inbound_3,F02,232020788,nyc_7__F02,New_York_City,USA,\N
inbound_3,inbound_3__F03,inbound_3,F03,232020826,nyc_7__F03,New_York_City,USA,\N
inbound_3,inbound_3__F04,inbound_3,F04,232034784,nyc_7__F04,New_York_City,USA,\N
inbound_3,inbound_3__G01,inbound_3,G01,232020795,nyc_7__G01,New_York_City,USA,\N
inbound_3,inbound_3__G02,inbound_3,G02,235196498,nyc_7__G02,New_York_City,USA,\N
inbound_3,inbound_3__G03,inbound_3,G03,235196555,nyc_7__G03,New_York_City,USA,\N
inbound_3,inbound_3__G04,inbound_3,G04,232021528,nyc_7__G04,New_York_City,USA,\N
inbound_3,inbound_3__H01,inbound_3,H01,235196493,nyc_7__H01,New_York_City,USA,\N
inbound_3,inbound_3__H02,inbound_3,H02,232022015,nyc_7__H02,New_York_City,USA,\N
inbound_3,inbound_3__H03,inbound_3,H03,232022031,nyc_7__H03,New_York_City,USA,\N
inbound_4,inbound_4__A01,inbound_4,A01,235030974,nyc_4__A01,New_York_City,USA,\N
inbound_4,inbound_4__A02,inbound_4,A02,235030960,nyc_4__A02,New_York_City,USA,\N
inbound_4,inbound_4__A03,inbound_4,A03,235030988,nyc_4__A03,New_York_City,USA,\N
inbound_4,inbound_4__A04,inbound_4,A04,235030072,nyc_4__A04,New_York_City,USA,\N
inbound_4,inbound_4__A12,inbound_4,A12,235030758,nyc_9__H03,New_York_City,USA,\N
inbound_4,inbound_4__B01,inbound_4,B01,235030044,nyc_4__B01,New_York_City,USA,\N
inbound_4,inbound_4__B02,inbound_4,B02,235030985,nyc_4__B02,New_York_City,USA,\N
inbound_4,inbound_4__B03,inbound_4,B03,235030944,nyc_4__B03,New_York_City,USA,\N
inbound_4,inbound_4__B04,inbound_4,B04,235030924,nyc_4__B04,New_York_City,USA,\N
inbound_4,inbound_4__C01,inbound_4,C01,235030053,nyc_4__C01,New_York_City,USA,\N
inbound_4,inbound_4__C02,inbound_4,C02,235030948,nyc_4__C02,New_York_City,USA,\N
inbound_4,inbound_4__C03,inbound_4,C03,235030901,nyc_4__C03,New_York_City,USA,\N
inbound_4,inbound_4__C04,inbound_4,C04,235030954,nyc_4__C04,New_York_City,USA,\N
inbound_4,inbound_4__D01,inbound_4,D01,235030052,nyc_4__D01,New_York_City,USA,\N
inbound_4,inbound_4__D02,inbound_4,D02,235030949,nyc_4__D02,New_York_City,USA,\N
inbound_4,inbound_4__D03,inbound_4,D03,235030950,nyc_4__D03,New_York_City,USA,\N
inbound_4,inbound_4__D04,inbound_4,D04,235030971,nyc_4__D04,New_York_City,USA,\N
inbound_4,inbound_4__E01,inbound_4,E01,235030993,nyc_4__E01,New_York_City,USA,\N
inbound_4,inbound_4__E02,inbound_4,E02,235030921,nyc_4__E02,New_York_City,USA,\N
inbound_4,inbound_4__E03,inbound_4,E03,235030962,nyc_4__E03,New_York_City,USA,\N
inbound_4,inbound_4__E04,inbound_4,E04,235030972,nyc_4__E04,New_York_City,USA,\N
inbound_4,inbound_4__E08,inbound_4,E08,232020781,nyc_10__A01,New_York_City,USA,\N
inbound_4,inbound_4__F01,inbound_4,F01,235030964,nyc_4__F01,New_York_City,USA,\N
inbound_4,inbound_4__F02,inbound_4,F02,235030969,nyc_4__F02,New_York_City,USA,\N
inbound_4,inbound_4__F03,inbound_4,F03,235030956,nyc_4__F03,New_York_City,USA,\N
inbound_4,inbound_4__F04,inbound_4,F04,235030926,nyc_4__F04,New_York_City,USA,\N
inbound_4,inbound_4__G01,inbound_4,G01,235030927,nyc_4__G01,New_York_City,USA,\N
inbound_4,inbound_4__G02,inbound_4,G02,235030984,nyc_4__G02,New_York_City,USA,\N
inbound_4,inbound_4__G03,inbound_4,G03,235030959,nyc_4__G03,New_York_City,USA,\N
inbound_4,inbound_4__G04,inbound_4,G04,235030945,nyc_4__H04,New_York_City,USA,\N
inbound_4,inbound_4__G12,inbound_4,G12,235198223,nyc_7__H04,New_York_City,USA,\N
