HA-Project-ID,HA-ID,Sample-ID,City-ID,project,status,,,,city,setting,ground_level,traffic,latitude,longitude,material,sample_place,,Yield,Date_Collected,City,Subway/Bus/Station,Description,Line(Station Only),Average_Ridership (2016),Latitude,Longitude,Object_Swabbed,Surface_Material
haib14SL2643,2643-SL-0047,P00094,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0048,P00100,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0049,P00103,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0050,P00109,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0051,P00112,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0052,P00113,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0053,P00117,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0054,P00118,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0055,P00120,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0056,P00121,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0057,P00123,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0058,P00124,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0059,P00125,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0060,P00127,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0061,P00128,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0062,P00130,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0063,P00132,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0064,P00133,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0065,P00134,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0066,P00135,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0067,P00143,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0068,P00148,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0069,P00149,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0070,P00151,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0071,P00152,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0072,P00153,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0073,P00155,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0074,P00156,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0075,P00158,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0076,P00159,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
haib14SL2643,2643-SL-0077,P00160,new_york_city,pathomap,sequenced,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
