,building_setting,car_location,car_or_station,city,humidity,light_type,line,place_type,subway_station_autofill,subway_station_surface,surface_material,temperature,temperature_type,traffic,weather
CDC-16-SAC-70,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,University/65th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-71,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,University/65th Street,,Concrete,,Celsius,,sunny
CDC-16-SAC-72,urban,middle,subway_car,sacramento,,,Blue/Gold,sub_line,University/65th Street,,Plastic,,Celsius,,sunny
CDC-16-SAC-73,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,Power Inn,,Metal,,Celsius,,sunny
CDC-16-SAC-74,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,Power Inn,,Metal,,Celsius,,sunny
CDC-16-SAC-75,urban,last,subway_car,sacramento,,,,sub_line,,,Metal,,Celsius,,sunny
CDC-16-SAC-76,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,College Greens,,Metal,,Celsius,,sunny
CDC-16-SAC-77,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,College Greens,,Concrete,,Celsius,,sunny
CDC-16-SAC-78,urban,last,subway_car,sacramento,,,Blue/Gold,sub_line,Watt/Manlove,,Metal,,Celsius,,sunny
CDC-16-SAC-79,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,Watt/Manlove,,Metal,,Celsius,,sunny
CDC-16-SAC-80,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,Watt/Manlove,,Concrete,,Celsius,,sunny
CDC-16-SAC-81,urban,last,subway_car,sacramento,,,Blue/Gold,sub_line,Watt/Manlove,,Metal,,Celsius,,sunny
CDC-16-SAC-82,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,Starfire,,Concrete,,Celsius,,sunny
CDC-16-SAC-83,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,Starfire,,Metal,,Celsius,,sunny
CDC-16-SAC-84,urban,last,subway_car,sacramento,,,Blue/Gold,sub_line,59th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-85,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,59th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-86,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,59th Street,,Concrete,,Celsius,,sunny
CDC-16-SAC-87,urban,middle,subway_car,sacramento,,,Blue/Gold,sub_line,59th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-88,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,39th Street,,Concrete,,Celsius,,sunny
CDC-16-SAC-89,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,39th Street,,Metal,,Celsius,,sunny
CDC-16-SAC-90,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,23rd Street,,Metal,,Celsius,,sunny
CDC-16-SAC-91,urban,,subway_station,sacramento,,,Blue/Gold,sub_line,23rd Street,,Concrete,,Celsius,,sunny
CDC-16-SAC-94,urban,,subway_station,sacramento,29,natural_light,Blue,sub_line,Roseville Road,Bench,Concrete,84,Farenheit,,sunny
CDC-16-SAC-95,urban,,subway_station,sacramento,29,natural_light,Blue,sub_line,Roseville Road,,Metal,84,Farenheit,,sunny
CDC-16-SAC-96,urban,,subway_station,sacramento,40,natural_light,Blue,sub_line,Watt/I-80 East,,Metal,85,Farenheit,,sunny
CDC-16-SAC-97,urban,,,sacramento,40,natural_light,Blue,sub_line,Watt/I-80 East,Bench,Metal,85,Farenheit,,sunny
CDC-16-SAC-98,urban,,subway_station,sacramento,40,natural_light,Blue,sub_line,Marconi/Arcade,,Metal,85,Farenheit,,sunny
CDC-16-SAC-99,urban,,subway_car,sacramento,30,electric_light,Blue,sub_line,,,Vinyl,85,Farenheit,,sunny
CDC-16-SAC-100,urban,,subway_station,sacramento,35,natural_light,Blue,sub_line,Marconi/Arcade,Bench,Concrete,83,Farenheit,,sunny
CDC-16-SAC-101,urban,,subway_station,sacramento,29,natural_light,Blue,sub_line,Swanston,,Concrete,,Farenheit,,sunny
CDC-16-SAC-101.2,urban,,subway_station,sacramento,29,electric_light,Blue,sub_line,Swanston,Kiosk,Metal,89,Farenheit,,sunny
CDC-16-SAC-102,urban,,subway_station,sacramento,29,natural_light,Blue,sub_line,Swanston,Bench,Concrete,89,Farenheit,,sunny
CDC-16-SAC-103,urban,,subway_station,sacramento,27,natural_light,Blue,sub_line,Royal Oaks,Bench,Concrete,90,Farenheit,,sunny
CDC-16-SAC-104,urban,,subway_station,sacramento,27,natural_light,Blue,sub_line,Royal Oaks,Kiosk,Metal,90,Farenheit,,sunny
CDC-16-SAC-105,urban,,subway_station,sacramento,27,natural_light,Blue,sub_line,Arden/Del Paso,Bench,Concrete,90,Farenheit,,sunny
CDC-16-SAC-106,urban,,subway_station,sacramento,27,natural_light,Blue,sub_line,Arden/Del Paso,Kiosk,Metal,90,Farenheit,,sunny
CDC-16-SAC-107,urban,first,subway_car,sacramento,26,electric_light,Blue,sub_line,,Seat,Vinyl,,,,sunny
CDC-16-SAC-108,urban,,subway_station,sacramento,26,natural_light,Blue,sub_line,12th & I,Kiosk,Metal,90,Farenheit,,sunny
